validation,result,column,pk,detail,source_value,target_value
record_count_check,PASS,,,"Source: 171 rows, Target: 171 rows",171,171
column_count_check,PASS,,,"Source: 49 columns, Target: 49 columns, Common: 49",49,49
metadata_type_check,PASS,account id,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,account name,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,account ranking list,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,arr size dynamic,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,bill state,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,"bop (adjusted, w/ late renewals extn)",,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,bundle product code,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,category,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,category (adjusted),,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,cohort arr size,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,covered finance product category,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,distributor name,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,end customer,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,"eop (adjusted, w/ late renewals extn)",,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,"eop, unadjusted  ",,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,extn for late renewals,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,finance product category,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,geo ,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,identifier,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,index#,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,industry,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,industry [custom],,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,max. fortune rank,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,month of revenue date,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,order number,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,peak arr,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,previous arr,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,previous extn for late renewals,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,previous refresh overlap adj,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,product family,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,product group,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,product name,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,product penetration (landed),,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,quantity,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,rcn emp count,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,refresh overlap adj,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,region,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,reseller name,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,sales designation_new,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,sales rep,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,service end date,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,service start date,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,shipping country,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,sku,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,territory id,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,territory name,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,variance,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,"variance (adjusted, w/ late renewals extn)",,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,year of cohort date fy,,"Compatible types: Source 'object', Target 'object'",object,object
duplicate_check,PASS,,,No duplicates found in Source,0,
duplicate_check,PASS,,,No duplicates found in Target,,0
null_check,PASS,account ranking list,,"Source: 106 nulls, Target: 106 nulls",106,106
null_check,PASS,arr size dynamic,,"Source: 3 nulls, Target: 3 nulls",3,3
null_check,PASS,bill state,,"Source: 51 nulls, Target: 51 nulls",51,51
null_check,PASS,cohort arr size,,"Source: 140 nulls, Target: 140 nulls",140,140
null_check,PASS,distributor name,,"Source: 20 nulls, Target: 20 nulls",20,20
null_check,PASS,max. fortune rank,,"Source: 140 nulls, Target: 140 nulls",140,140
empty_string_check,PASS,,,No empty strings found,,
primary_key_match,PASS,,,"Common: 171, Source-only: 0, Target-only: 0",171,171
data_validation,FAIL,"bop (adjusted, w/ late renewals extn)",,"3 mismatches in column bop (adjusted, w/ late renewals extn)",,
data_validation,FAIL,"bop (adjusted, w/ late renewals extn)","account id='0014600001JLE5wAAH', order number='REN-182195', sku='IB-TOKENS-UDDI-REPORTING-40', service start date='2/10/2025'",Value mismatch (example 1 of 3),'27279.999999999996','27280.0'
data_validation,FAIL,"bop (adjusted, w/ late renewals extn)","account id='0018Y00002w9XJCQA2', order number='DIST-181287', sku='IB-TOKENS-UDDI-REPORTING-40', service start date='1/17/2025'",Value mismatch (example 2 of 3),'3581.8131868131873','3581.8131868131877'
data_validation,FAIL,"bop (adjusted, w/ late renewals extn)","account id='0014600001JLO1BAAX', order number='REN-188383', sku='IB-TOKENS-UDDI-REPORTING-40', service start date='7/28/2025'",Value mismatch (example 3 of 3),'404.7999999999999','404.8'
data_validation,FAIL,end customer,,1 mismatches in column end customer,,
data_validation,FAIL,end customer,"account id='0011M00002Qr9ncQAB', order number='REN-186049', sku='IB-TOKENS-UDDI-REPORTING-40', service start date='6/28/2025'",Value mismatch (example 1 of 1),'DOWLAIS GROUP PLC','DAUCH CORPORATION'
data_validation,FAIL,"eop (adjusted, w/ late renewals extn)",,"5 mismatches in column eop (adjusted, w/ late renewals extn)",,
data_validation,FAIL,"eop (adjusted, w/ late renewals extn)","account id='0014600001JLbLTAA1', order number='REN-190289', sku='IB-TOKENS-UDDI-REPORTING-40', service start date='9/30/2025'",Value mismatch (example 1 of 5),'401439.99999999994','401440.0'
data_validation,FAIL,"eop (adjusted, w/ late renewals extn)","account id='0014600001JLE5wAAH', order number='REN-182195', sku='IB-TOKENS-UDDI-REPORTING-40', service start date='2/10/2025'",Value mismatch (example 2 of 5),'27279.999999999996','27280.0'
