validation,result,column,pk,detail,source_value,target_value
record_count_check,PASS,,,"Source: 168 rows, Target: 168 rows",168,168
column_count_check,PASS,,,"Source: 49 columns, Target: 49 columns, Common: 49",49,49
metadata_type_check,PASS,account id,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,account name,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,account ranking list,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,arr size dynamic,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,bill state,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,"bop (adjusted, w/ late renewals extn)",,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,bundle product code,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,category,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,category (adjusted),,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,cohort arr size,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,covered finance product category,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,distributor name,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,end customer,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,"eop (adjusted, w/ late renewals extn)",,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,"eop, unadjusted  ",,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,extn for late renewals,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,finance product category,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,geo ,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,identifier,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,index#,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,industry,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,industry [custom],,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,max. fortune rank,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,month of revenue date,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,order number,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,peak arr,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,previous arr,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,previous extn for late renewals,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,previous refresh overlap adj,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,product family,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,product group,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,product name,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,product penetration (landed),,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,quantity,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,rcn emp count,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,refresh overlap adj,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,region,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,reseller name,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,sales designation_new,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,sales rep,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,service end date,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,service start date,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,shipping country,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,sku,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,territory id,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,territory name,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,variance,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,"variance (adjusted, w/ late renewals extn)",,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,year of cohort date fy,,"Compatible types: Source 'object', Target 'object'",object,object
duplicate_check,PASS,,,No duplicates found in Source,0,
duplicate_check,PASS,,,No duplicates found in Target,,0
null_check,PASS,account ranking list,,"Source: 90 nulls, Target: 90 nulls",90,90
null_check,PASS,arr size dynamic,,"Source: 13 nulls, Target: 13 nulls",13,13
null_check,PASS,bill state,,"Source: 38 nulls, Target: 38 nulls",38,38
null_check,PASS,bundle product code,,"Source: 119 nulls, Target: 119 nulls",119,119
null_check,PASS,cohort arr size,,"Source: 150 nulls, Target: 150 nulls",150,150
null_check,PASS,distributor name,,"Source: 45 nulls, Target: 45 nulls",45,45
null_check,FAIL,max. fortune rank,,"Source: 114 nulls, Target: 113 nulls",114,113
null_check,PASS,reseller name,,"Source: 6 nulls, Target: 6 nulls",6,6
empty_string_check,PASS,,,No empty strings found,,
primary_key_match,PASS,,,"Common: 168, Source-only: 0, Target-only: 0",168,168
