validation,result,column,pk,detail,source_value,target_value
record_count_check,PASS,,,"Source: 562 rows, Target: 562 rows",562,562
column_count_check,PASS,,,"Source: 49 columns, Target: 49 columns, Common: 49",49,49
metadata_type_check,PASS,account id,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,account name,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,account ranking list,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,arr size dynamic,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,bill state,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,"bop (adjusted, w/ late renewals extn)",,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,bundle product code,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,category,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,category (adjusted),,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,cohort arr size,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,covered finance product category,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,distributor name,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,end customer,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,"eop (adjusted, w/ late renewals extn)",,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,"eop, unadjusted  ",,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,extn for late renewals,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,finance product category,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,geo ,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,identifier,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,index#,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,industry,,"Compatible types: Source 'object', Target 'object'",object,object
