validation,result,column,pk,detail,source_value,target_value
record_count_check,PASS,,,"Source: 1569 rows, Target: 1569 rows",1569,1569
column_count_check,PASS,,,"Source: 48 columns, Target: 49 columns, Common: 48 | Target-only: ['Identifier']",48,49
metadata_type_check,PASS,ARR Size Dynamic,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,Account ID,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,Account Name,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,Account Ranking List,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,Bill State,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,"BoP (Adjusted, w/ Late Renewals Extn)",,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,Bundle Product Code,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,Category,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,Category (Adjusted),,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,Cohort ARR Size,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,Covered Finance Product Category,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,Distributor Name,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,End Customer,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,"EoP (Adjusted, w/ Late Renewals Extn)",,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,"EoP, Unadjusted  ",,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,Extn for Late Renewals,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,Finance Product Category,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,Geo ,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,Index#,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,Industry,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,Industry [Custom],,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,Max. Fortune Rank,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,Month of Revenue Date,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,Order Number,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,Peak ARR,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,Previous ARR,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,Previous Extn for Late Renewals,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,Previous Refresh Overlap Adj,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,Product Family,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,Product Group,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,Product Name,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,Product Penetration (Landed),,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,Quantity,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,RCN Emp Count,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,Refresh Overlap Adj,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,Region,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,Reseller Name,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,SKU,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,Sales Designation_New,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,Sales Rep,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,Service End Date,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,Service Start Date,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,Shipping Country,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,Territory Id,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,Territory Name,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,Variance,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,"Variance (Adjusted, w/ Late Renewals Extn)",,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,Year of Cohort Date FY,,"Compatible types: Source 'object', Target 'object'",object,object
duplicate_check,SKIP,,,No primary key defined - duplicate check skipped,,
null_check,FAIL,ARR Size Dynamic,,"Source: 0 nulls, Target: 19 nulls",0,19
null_check,PASS,Account Ranking List,,"Source: 599 nulls, Target: 599 nulls",599,599
null_check,PASS,Bill State,,"Source: 642 nulls, Target: 642 nulls",642,642
null_check,PASS,Bundle Product Code,,"Source: 131 nulls, Target: 131 nulls",131,131
null_check,FAIL,Cohort ARR Size,,"Source: 0 nulls, Target: 1336 nulls",0,1336
null_check,PASS,Distributor Name,,"Source: 294 nulls, Target: 294 nulls",294,294
null_check,PASS,Max. Fortune Rank,,"Source: 980 nulls, Target: 980 nulls",980,980
null_check,PASS,Reseller Name,,"Source: 19 nulls, Target: 19 nulls",19,19
empty_string_check,PASS,,,No empty strings found,,
data_validation,FAIL,Cohort ARR Size,index=0,Values do not match,'NA',nan
data_validation,FAIL,"EoP (Adjusted, w/ Late Renewals Extn)",index=0,Values do not match,"'40,388'",'40387.5'
data_validation,FAIL,"EoP, Unadjusted  ",index=0,Values do not match,'$40.39K','40387.5'
data_validation,FAIL,Extn for Late Renewals,index=0,Values do not match,'$0.00K','0'
data_validation,FAIL,Peak ARR,index=0,Values do not match,'$40.4K','40387.5'
data_validation,FAIL,Previous ARR,index=0,Values do not match,'$0.00K','0.0'
data_validation,FAIL,Previous Extn for Late Renewals,index=0,Values do not match,'$0.00K','0'
data_validation,FAIL,Previous Refresh Overlap Adj,index=0,Values do not match,'$0.00K','0'
data_validation,FAIL,Refresh Overlap Adj,index=0,Values do not match,'$0.00K','0'
data_validation,FAIL,Variance,index=0,Values do not match,'$40.39K','40387.5'
data_validation,FAIL,"Variance (Adjusted, w/ Late Renewals Extn)",index=0,Values do not match,'$40.39K','40387.5'
data_validation,FAIL,"BoP (Adjusted, w/ Late Renewals Extn)",index=1,Values do not match,"'40,388'",'40387.5'
data_validation,FAIL,Cohort ARR Size,index=1,Values do not match,'NA',nan
data_validation,FAIL,"EoP (Adjusted, w/ Late Renewals Extn)",index=1,Values do not match,"'40,388'",'40387.5'
data_validation,FAIL,"EoP, Unadjusted  ",index=1,Values do not match,'$40.39K','40387.5'
data_validation,FAIL,Extn for Late Renewals,index=1,Values do not match,'$0.00K','0'
data_validation,FAIL,Peak ARR,index=1,Values do not match,'$40.4K','40387.5'
data_validation,FAIL,Previous ARR,index=1,Values do not match,'$40.39K','40387.5'
data_validation,FAIL,Previous Extn for Late Renewals,index=1,Values do not match,'$0.00K','0'
data_validation,FAIL,Previous Refresh Overlap Adj,index=1,Values do not match,'$0.00K','0'
data_validation,FAIL,Refresh Overlap Adj,index=1,Values do not match,'$0.00K','0'
data_validation,FAIL,Variance,index=1,Values do not match,'$0.00K','0.0'
data_validation,FAIL,"Variance (Adjusted, w/ Late Renewals Extn)",index=1,Values do not match,'$0.00K','0.0'
data_validation,FAIL,"BoP (Adjusted, w/ Late Renewals Extn)",index=2,Values do not match,"'40,388'",'40387.5'
data_validation,FAIL,Cohort ARR Size,index=2,Values do not match,'NA',nan
data_validation,FAIL,"EoP (Adjusted, w/ Late Renewals Extn)",index=2,Values do not match,"'40,388'",'40387.5'
data_validation,FAIL,"EoP, Unadjusted  ",index=2,Values do not match,'$40.39K','40387.5'
data_validation,FAIL,Extn for Late Renewals,index=2,Values do not match,'$0.00K','0'
data_validation,FAIL,Peak ARR,index=2,Values do not match,'$40.4K','40387.5'
data_validation,FAIL,Previous ARR,index=2,Values do not match,'$40.39K','40387.5'
data_validation,FAIL,Previous Extn for Late Renewals,index=2,Values do not match,'$0.00K','0'
data_validation,FAIL,Previous Refresh Overlap Adj,index=2,Values do not match,'$0.00K','0'
data_validation,FAIL,Refresh Overlap Adj,index=2,Values do not match,'$0.00K','0'
data_validation,FAIL,Variance,index=2,Values do not match,'$0.00K','0.0'
data_validation,FAIL,"Variance (Adjusted, w/ Late Renewals Extn)",index=2,Values do not match,'$0.00K','0.0'
data_validation,FAIL,"BoP (Adjusted, w/ Late Renewals Extn)",index=3,Values do not match,"'40,388'",'40387.5'
data_validation,FAIL,Cohort ARR Size,index=3,Values do not match,'NA',nan
data_validation,FAIL,"EoP (Adjusted, w/ Late Renewals Extn)",index=3,Values do not match,"'40,388'",'40387.5'
data_validation,FAIL,"EoP, Unadjusted  ",index=3,Values do not match,'$40.39K','40387.5'
data_validation,FAIL,Extn for Late Renewals,index=3,Values do not match,'$0.00K','0'
data_validation,FAIL,Peak ARR,index=3,Values do not match,'$40.4K','40387.5'
data_validation,FAIL,Previous ARR,index=3,Values do not match,'$40.39K','40387.5'
data_validation,FAIL,Previous Extn for Late Renewals,index=3,Values do not match,'$0.00K','0'
data_validation,FAIL,Previous Refresh Overlap Adj,index=3,Values do not match,'$0.00K','0'
data_validation,FAIL,Refresh Overlap Adj,index=3,Values do not match,'$0.00K','0'
data_validation,FAIL,Variance,index=3,Values do not match,'$0.00K','0.0'
data_validation,FAIL,"Variance (Adjusted, w/ Late Renewals Extn)",index=3,Values do not match,'$0.00K','0.0'
data_validation,FAIL,"BoP (Adjusted, w/ Late Renewals Extn)",index=4,Values do not match,"'40,388'",'40387.5'
data_validation,FAIL,Cohort ARR Size,index=4,Values do not match,'NA',nan
data_validation,FAIL,"EoP (Adjusted, w/ Late Renewals Extn)",index=4,Values do not match,"'40,388'",'40387.5'
data_validation,FAIL,"EoP, Unadjusted  ",index=4,Values do not match,'$40.39K','40387.5'
data_validation,FAIL,Extn for Late Renewals,index=4,Values do not match,'$0.00K','0'
data_validation,FAIL,Peak ARR,index=4,Values do not match,'$40.4K','40387.5'
data_validation,FAIL,Previous ARR,index=4,Values do not match,'$40.39K','40387.5'
data_validation,FAIL,Previous Extn for Late Renewals,index=4,Values do not match,'$0.00K','0'
data_validation,FAIL,Previous Refresh Overlap Adj,index=4,Values do not match,'$0.00K','0'
data_validation,FAIL,Refresh Overlap Adj,index=4,Values do not match,'$0.00K','0'
data_validation,FAIL,Variance,index=4,Values do not match,'$0.00K','0.0'
data_validation,FAIL,"Variance (Adjusted, w/ Late Renewals Extn)",index=4,Values do not match,'$0.00K','0.0'
data_validation,FAIL,"BoP (Adjusted, w/ Late Renewals Extn)",index=5,Values do not match,"'40,388'",'40387.5'
data_validation,FAIL,Cohort ARR Size,index=5,Values do not match,'NA',nan
data_validation,FAIL,"EoP (Adjusted, w/ Late Renewals Extn)",index=5,Values do not match,"'40,388'",'40387.5'
data_validation,FAIL,"EoP, Unadjusted  ",index=5,Values do not match,'$40.39K','40387.5'
data_validation,FAIL,Extn for Late Renewals,index=5,Values do not match,'$0.00K','0'
data_validation,FAIL,Peak ARR,index=5,Values do not match,'$40.4K','40387.5'
data_validation,FAIL,Previous ARR,index=5,Values do not match,'$40.39K','40387.5'
data_validation,FAIL,Previous Extn for Late Renewals,index=5,Values do not match,'$0.00K','0'
data_validation,FAIL,Previous Refresh Overlap Adj,index=5,Values do not match,'$0.00K','0'
data_validation,FAIL,Refresh Overlap Adj,index=5,Values do not match,'$0.00K','0'
data_validation,FAIL,Variance,index=5,Values do not match,'$0.00K','0.0'
data_validation,FAIL,"Variance (Adjusted, w/ Late Renewals Extn)",index=5,Values do not match,'$0.00K','0.0'
data_validation,FAIL,"BoP (Adjusted, w/ Late Renewals Extn)",index=6,Values do not match,"'40,388'",'40387.5'
data_validation,FAIL,Cohort ARR Size,index=6,Values do not match,'NA',nan
data_validation,FAIL,"EoP (Adjusted, w/ Late Renewals Extn)",index=6,Values do not match,"'40,388'",'40387.5'
data_validation,FAIL,"EoP, Unadjusted  ",index=6,Values do not match,'$40.39K','40387.5'
data_validation,FAIL,Extn for Late Renewals,index=6,Values do not match,'$0.00K','0'
data_validation,FAIL,Peak ARR,index=6,Values do not match,'$40.4K','40387.5'
