validation,result,column,pk,detail,source_value,target_value
record_count_check,FAIL,,,"Source: 868 rows, Target: 806 rows",868,806
column_count_check,PASS,,,"Source: 48 columns, Target: 49 columns, Common: 48 | Target-only: ['Identifier']",48,49
metadata_type_check,PASS,ARR Size Dynamic,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,Account ID,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,Account Name,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,Account Ranking List,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,Bill State,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,"BoP (Adjusted, w/ Late Renewals Extn)",,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,Bundle Product Code,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,Category,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,Category (Adjusted),,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,Cohort ARR Size,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,Covered Finance Product Category,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,Distributor Name,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,End Customer,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,"EoP (Adjusted, w/ Late Renewals Extn)",,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,"EoP, Unadjusted  ",,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,Extn for Late Renewals,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,Finance Product Category,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,Geo ,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,Index#,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,Industry,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,Industry [Custom],,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,Max. Fortune Rank,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,Month of Revenue Date,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,Order Number,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,Peak ARR,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,Previous ARR,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,Previous Extn for Late Renewals,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,Previous Refresh Overlap Adj,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,Product Family,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,Product Group,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,Product Name,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,Product Penetration (Landed),,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,Quantity,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,RCN Emp Count,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,Refresh Overlap Adj,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,Region,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,Reseller Name,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,SKU,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,Sales Designation_New,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,Sales Rep,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,Service End Date,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,Service Start Date,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,Shipping Country,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,Territory Id,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,Territory Name,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,Variance,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,"Variance (Adjusted, w/ Late Renewals Extn)",,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,Year of Cohort Date FY,,"Compatible types: Source 'object', Target 'object'",object,object
duplicate_check,SKIP,,,No primary key defined - duplicate check skipped,,
null_check,FAIL,ARR Size Dynamic,,"Source: 0 nulls, Target: 63 nulls",0,63
null_check,FAIL,Account Ranking List,,"Source: 367 nulls, Target: 346 nulls",367,346
null_check,FAIL,Bill State,,"Source: 258 nulls, Target: 242 nulls",258,242
null_check,FAIL,Cohort ARR Size,,"Source: 0 nulls, Target: 729 nulls",0,729
null_check,FAIL,Distributor Name,,"Source: 163 nulls, Target: 143 nulls",163,143
null_check,FAIL,Max. Fortune Rank,,"Source: 592 nulls, Target: 553 nulls",592,553
null_check,PASS,Reseller Name,,"Source: 13 nulls, Target: 13 nulls",13,13
empty_string_check,PASS,,,No empty strings found,,
data_validation,FAIL,Cohort ARR Size,index=0,Values do not match,'NA',nan
data_validation,FAIL,"EoP (Adjusted, w/ Late Renewals Extn)",index=0,Values do not match,"'19,600'",'19600.0'
data_validation,FAIL,"EoP, Unadjusted  ",index=0,Values do not match,'$19.60K','19600.0'
data_validation,FAIL,Extn for Late Renewals,index=0,Values do not match,'$0.00K','0'
data_validation,FAIL,Peak ARR,index=0,Values do not match,'$19.6K','19600.0'
data_validation,FAIL,Previous ARR,index=0,Values do not match,'$0.00K','0.0'
data_validation,FAIL,Previous Extn for Late Renewals,index=0,Values do not match,'$0.00K','0'
data_validation,FAIL,Previous Refresh Overlap Adj,index=0,Values do not match,'$0.00K','0.0'
data_validation,FAIL,Refresh Overlap Adj,index=0,Values do not match,'$0.00K','0.0'
data_validation,FAIL,Variance,index=0,Values do not match,'$19.60K','19600.0'
data_validation,FAIL,"Variance (Adjusted, w/ Late Renewals Extn)",index=0,Values do not match,'$19.60K','19600.0'
data_validation,FAIL,"BoP (Adjusted, w/ Late Renewals Extn)",index=1,Values do not match,"'19,600'",'19600.0'
