validation,result,column,pk,detail,source_value,target_value
record_count_check,FAIL,,,"Source: 8000 rows, Target: 7984 rows (Note: Smart sub-setting applied - records filtered to matching PKs)",8000,7984
column_count_check,PASS,,,"Source: 10 columns, Target: 18 columns, Common: 9 | Source-only: ['_'] | Target-only: ['edw_act_fl', 'edw_end_dt', 'edw_hash_key', 'edw_ld_dt', 'edw_src_cd', 'edw_strt_dt', 'edw_updt_dt', 'edw_user_nm', 'row_id']",10,18
metadata_type_check,PASS,createdbyid,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,createddate,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,datatype,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,field,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,id,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,isdeleted,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,newvalue,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,oldvalue,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,quoteid,,"Compatible types: Source 'object', Target 'object'",object,object
duplicate_check,PASS,,,No duplicates found in Source,0,
duplicate_check,FAIL,,id='017R70000A7fvpaIQA',Target has 2 duplicate rows (showing first 5 of 4),,2
duplicate_check,FAIL,,id='017R70000A8gj4rIQA',Target has 2 duplicate rows (showing first 5 of 4),,2
null_check,PASS,newvalue,,"Source: 38 nulls, Target: 38 nulls",38,38
null_check,PASS,oldvalue,,"Source: 675 nulls, Target: 675 nulls",675,675
empty_string_check,PASS,,,No empty strings found,,
primary_key_match,FAIL,,,"Common: 7982, Source-only: 18, Target-only: 0",8000,7982
primary_key_match,FAIL,,id='017R70000AhxIxTIQU',Primary key exists in Source but not in Target (showing first 5 of 18),EXISTS,MISSING
primary_key_match,FAIL,,id='017R70000Ai0hwyIQA',Primary key exists in Source but not in Target (showing first 5 of 18),EXISTS,MISSING
primary_key_match,FAIL,,id='017R70000Ai16UfIQI',Primary key exists in Source but not in Target (showing first 5 of 18),EXISTS,MISSING
primary_key_match,FAIL,,id='017R70000Ai5tKvIQI',Primary key exists in Source but not in Target (showing first 5 of 18),EXISTS,MISSING
primary_key_match,FAIL,,id='017R70000Ai7sFTIQY',Primary key exists in Source but not in Target (showing first 5 of 18),EXISTS,MISSING
data_validation,FAIL,createddate,,7982 mismatches in column createddate,,
data_validation,FAIL,createddate,id='017R70000ATMrqiIQD',Value mismatch (example 1 of 7982),'2026-03-13T14:30:35.000+0000',Timestamp('2026-03-13 14:30:35')
data_validation,FAIL,createddate,id='017R70000AYH3n7IQD',Value mismatch (example 2 of 7982),'2026-03-17T10:19:30.000+0000',Timestamp('2026-03-17 10:19:30')
data_validation,FAIL,createddate,id='017R70000AZtU3bIQF',Value mismatch (example 3 of 7982),'2026-03-18T09:37:50.000+0000',Timestamp('2026-03-18 09:37:50')
data_validation,FAIL,isdeleted,,7982 mismatches in column isdeleted,,
data_validation,FAIL,isdeleted,id='017R70000ATMrqiIQD',Value mismatch (example 1 of 7982),'false','False'
data_validation,FAIL,isdeleted,id='017R70000AYH3n7IQD',Value mismatch (example 2 of 7982),'false','False'
data_validation,FAIL,isdeleted,id='017R70000AZtU3bIQF',Value mismatch (example 3 of 7982),'false','False'
